year,industry_raw,industry_code,industry_level,births,survival_of_1_year,percent_of_1_year,survival_of_2_year,percent_of_2_year,survival_of_3_year,percent_of_3_year,survival_of_4_year,percent_of_4_year,survival_of_5_year,percent_of_5_year
2019,"463 : Wholesale of food, beverages and tobacco",463,group,1880,1755,93.3510638297872,1380,73.4042553191489,1045,55.5851063829787,905,48.1382978723404,780,41.4893617021277
2019,464 : Wholesale of household goods,464,group,2355,2170,92.1443736730361,1660,70.4883227176221,1280,54.3524416135881,1065,45.2229299363057,930,39.4904458598726
2019,465 : Wholesale of information and communication equipment,465,group,385,370,96.1038961038961,290,75.3246753246753,210,54.5454545454545,185,48.0519480519481,165,42.8571428571429
2019,"466 : Wholesale of other machinery, equipment and supplies",466,group,640,605,94.53125,500,78.125,420,65.625,375,58.59375,345,53.90625
2019,467 : Other specialised wholesale,467,group,1105,1035,93.6651583710407,790,71.4932126696833,645,58.3710407239819,555,50.2262443438914,505,45.7013574660633
2019,469 : Non-specialised wholesale trade,469,group,1100,1040,94.5454545454545,775,70.4545454545455,575,52.2727272727273,480,43.6363636363636,405,36.8181818181818
2019,"47 : Retail trade, except of motor vehicles and motorcycles",47,division,31935,30100,94.2539533427274,23815,74.5733521214968,16555,51.8396743385001,12955,40.5667762642868,11020,34.5075935493972
2019,471 : Retail sale in non-specialised stores,471,group,4905,4690,95.6167176350663,4020,81.9571865443425,3435,70.0305810397553,3015,61.4678899082569,2625,53.5168195718654
2019,"472 : Retail sale of food, beverages and tobacco in specialised stores",472,group,2460,2320,94.3089430894309,1975,80.2845528455285,1670,67.8861788617886,1430,58.130081300813,1245,50.609756097561
2019,473 : Retail sale of automotive fuel in specialised stores,473,group,170,150,88.2352941176471,130,76.4705882352941,105,61.7647058823529,95,55.8823529411765,85,50
2019,474 : Retail sale of information and communication equipment in specialised stores,474,group,710,670,94.3661971830986,530,74.6478873239437,445,62.6760563380282,375,52.8169014084507,315,44.3661971830986
2019,475 : Retail sale of other household equipment in specialised stores,475,group,1885,1795,95.2254641909814,1520,80.6366047745358,1295,68.7002652519894,1115,59.1511936339523,975,51.7241379310345
2019,476 : Retail sale of cultural and recreation goods in specialised stores,476,group,900,865,96.1111111111111,710,78.8888888888889,590,65.5555555555556,505,56.1111111111111,455,50.5555555555556
2019,477 : Retail sale of other goods in specialised stores,477,group,4595,4315,93.9064200217628,3590,78.1284004352557,3045,66.2676822633297,2615,56.9096844396083,2300,50.0544069640914
2019,478 : Retail sale via stalls and markets,478,group,465,430,92.4731182795699,350,75.2688172043011,295,63.4408602150538,255,54.8387096774194,220,47.3118279569892
2019,"479 : Retail trade not in stores, stalls or markets",479,group,15845,14865,93.8150836225939,10990,69.3594193751972,5675,35.8157147365099,3550,22.4045440201956,2800,17.6711896497318
2019,49 : Land transport and transport via pipelines,49,division,18225,17540,96.241426611797,13895,76.241426611797,8085,44.3621399176955,5045,27.681755829904,4145,22.7434842249657
2019,"491 : Passenger rail transport, interurban",491,group,0,0,0,0,0,0,0,0,0,0,0
2019,492 : Freight rail transport,492,group,35,35,100,25,71.4285714285714,15,42.8571428571429,10,28.5714285714286,10,28.5714285714286
2019,493 : Other passenger land transport,493,group,1680,1600,95.2380952380952,1355,80.6547619047619,1110,66.0714285714286,925,55.0595238095238,800,47.6190476190476
2019,494 : Freight transport by road and removal services,494,group,16510,15905,96.33555420957,12515,75.8025439127801,6960,42.1562689279225,4110,24.8940036341611,3335,20.1998788612962
2019,495 : Transport via pipeline,495,group,0,0,0,0,0,0,0,0,0,0,0
2019,50 : Water transport,50,division,115,105,91.304347826087,85,73.9130434782609,70,60.8695652173913,60,52.1739130434783,55,47.8260869565217
2019,501 : Sea and coastal passenger water transport,501,group,50,45,90,40,80,30,60,25,50,20,40
2019,502 : Sea and coastal freight water transport,502,group,50,45,90,35,70,30,60,25,50,25,50
2019,503 : Inland passenger water transport,503,group,15,15,100,10,66.6666666666667,10,66.6666666666667,10,66.6666666666667,10,66.6666666666667
2019,504 : Inland freight water transport,504,group,0,0,0,0,0,0,0,0,0,0,0
2019,51 : Air transport,51,division,60,55,91.6666666666667,45,75,40,66.6666666666667,35,58.3333333333333,30,50
2019,511 : Passenger air transport,511,group,50,50,100,35,70,30,60,30,60,25,50
