industry_raw,industry_code,industry_name,year,births_of_new_enterprises,active_enterprises,active_enterprises_10plus_employees,deaths_of_new_enterprises,percent_of_1_year,percent_of_2_year,percent_of_3_year,percent_of_4_year,percent_of_5_year,survival_of_1_year,survival_of_2_year,survival_of_3_year,survival_of_4_year,survival_of_5_year,high_growth_enterprises
31 : Manufacture of furniture,31,Manufacture of furniture,2019,600,6960,1425,580,94.1666666666667,77.5,65,55.8333333333333,47.5,565,465,390,335,285,50
31 : Manufacture of furniture,31,Manufacture of furniture,2020,650,7025,1400,475,95.3846153846154,79.2307692307692,63.0769230769231,52.3076923076923,NA,620,515,410,340,NA,35
31 : Manufacture of furniture,31,Manufacture of furniture,2021,820,7365,1410,465,95.1219512195122,75,59.1463414634146,NA,NA,780,615,485,NA,NA,35
31 : Manufacture of furniture,31,Manufacture of furniture,2022,680,7525,1375,640,94.8529411764706,67.6470588235294,NA,NA,NA,645,460,NA,NA,NA,40
31 : Manufacture of furniture,31,Manufacture of furniture,2023,585,7450,1345,745,94.017094017094,NA,NA,NA,NA,550,NA,NA,NA,NA,45
32 : Other manufacturing,32,Other manufacturing,2019,1460,11170,1200,1010,95.5479452054795,74.6575342465753,35.2739726027397,30.1369863013699,27.3972602739726,1395,1090,515,440,400,40
32 : Other manufacturing,32,Other manufacturing,2020,1285,11370,1205,980,95.3307392996109,61.0894941634241,44.7470817120623,38.5214007782101,NA,1225,785,575,495,NA,50
32 : Other manufacturing,32,Other manufacturing,2021,1105,11380,1200,1720,94.5701357466063,69.2307692307692,54.2986425339367,NA,NA,1045,765,600,NA,NA,45
32 : Other manufacturing,32,Other manufacturing,2022,1035,10945,1220,1100,92.7536231884058,68.1159420289855,NA,NA,NA,960,705,NA,NA,NA,40
32 : Other manufacturing,32,Other manufacturing,2023,980,10880,1205,1225,91.8367346938776,NA,NA,NA,NA,900,NA,NA,NA,NA,30
33 : Repair and installation of machinery and equipment,33,Repair and installation of machinery and equipment,2019,2380,16665,1370,1480,95.1680672268908,77.3109243697479,56.7226890756302,43.9075630252101,38.4453781512605,2265,1840,1350,1045,915,65
33 : Repair and installation of machinery and equipment,33,Repair and installation of machinery and equipment,2020,2095,17135,1385,1630,95.2267303102625,72.3150357995227,52.9832935560859,46.0620525059666,NA,1995,1515,1110,965,NA,50
33 : Repair and installation of machinery and equipment,33,Repair and installation of machinery and equipment,2021,1750,16865,1400,2180,92.8571428571429,76.8571428571429,65.1428571428572,NA,NA,1625,1345,1140,NA,NA,40
33 : Repair and installation of machinery and equipment,33,Repair and installation of machinery and equipment,2022,1675,16395,1460,1845,94.3283582089552,77.6119402985075,NA,NA,NA,1580,1300,NA,NA,NA,45
33 : Repair and installation of machinery and equipment,33,Repair and installation of machinery and equipment,2023,1595,16080,1460,1280,95.9247648902821,NA,NA,NA,NA,1530,NA,NA,NA,NA,65
"35 : Electricity, gas, steam and air conditioning supply",35,"Electricity, gas, steam and air conditioning supply",2019,630,6120,555,360,94.4444444444444,70.6349206349206,52.3809523809524,44.4444444444444,40.4761904761905,595,445,330,280,255,30
"35 : Electricity, gas, steam and air conditioning supply",35,"Electricity, gas, steam and air conditioning supply",2020,535,6125,535,270,76.6355140186916,63.5514018691589,45.7943925233645,40.1869158878505,NA,410,340,245,215,NA,30
"35 : Electricity, gas, steam and air conditioning supply",35,"Electricity, gas, steam and air conditioning supply",2021,605,6270,575,255,93.3884297520661,57.0247933884297,40.495867768595,NA,NA,565,345,245,NA,NA,30
